ID_da_instituicao	nome_da_instituicao	ID_da_microregiao	ID_da_mesoregiao	ID_do_estado	Publicacoes_Disciplina_Biologia	Publicacoes_Disciplina_Biotecnologia	Publicacoes_Disciplina_Especialidades_Medicas	Publicacoes_Disciplina_Engenharias_Civil_Mecanica_e_Quimica	Publicacoes_Disciplina_Quimica	Publicacoes_Disciplina_Ciencias_da_Natureza	Publicacoes_Disciplina_Engenharia_Eletrica_e_Ciencias_da_Computacao	Publicacoes_Disciplina_Pesquisas_Neurologicas	Publicacoes_Disciplina_Humanas	Publicacoes_Disciplina_Doencas_Infecciosas	Publicacoes_Disciplina_Matematica_e_Fisica	Publicacoes_Disciplina_Profissionais_da_Saude	Publicacoes_Disciplina_Ciencias_Sociais	Total_Publicacoes
006100000001	FUNDACAO GETULIO VARGAS SP	35061	3515	35	1	0	0	0	0	0	0	0	0	0	0	1	16	18
829000000000	UNIVERSIDADE ESTADUAL DE MONTES CLAROS	31004	3102	31	14	1	7	2	3	1	1	3	0	8	0	10	1	51
501600000001	UNIVERSIDADE LUTERANA DO BRASIL	43026	4305	43	3	1	10	2	3	1	0	1	0	7	1	9	1	39
169700000007	UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO	33018	3306	33	15	2	16	3	3	4	4	5	0	7	0	12	3	74
117800000006	PONTIFICIA UNIVERSIDADE CATOLICA DE MINAS GERAIS	31030	3107	31	9	1	2	15	5	1	5	2	0	4	2	7	8	61
023100000001	INSTITUTO AGRONOMICO DO PARANA	41011	4103	41	8	1	1	1	1	0	0	0	0	2	0	0	2	16
J1HP00000001	INSTITUTO FEDERAL DO PARANA	41019	4105	41	19	6	18	9	13	11	2	6	0	13	10	8	0	115
158700000001	UNIVERSIDADE DE COIMBRA	31062	3112	31	9	3	16	9	8	3	5	4	0	9	4	3	3	76
553800000008	UNIVERSIDADE ESTADUAL DO OESTE DO PARANA	41023	4106	41	16	7	12	12	10	4	2	1	0	10	1	9	5	89
319000000000	INSTITUTO FEDERAL DE SANTA CATARINA	42008	4202	42	5	2	2	6	9	2	6	1	0	2	2	2	4	43
894500000009	UNIVERSIDADE FEDERAL DO AMAPA	16003	1602	16	11	2	4	3	7	1	0	1	1	4	2	4	2	42
061500000001	FUNDACAO EDUCACIONAL INACIANA PADRE SABOIA DE MEDEIROS	35061	3515	35	0	0	0	5	1	1	5	1	0	0	2	1	5	21
823700000003	UNIVERSIDADE NORTE DO PARANA	41011	4103	41	3	2	3	0	1	1	0	4	0	8	0	11	0	33
505800000008	UNIVERSIDADE ESTADUAL DO MARANHAO	21002	2101	21	11	1	1	2	2	0	1	2	2	7	4	0	0	33
007100000000	PONTIFICIA UNIVERSIDADE CATOLICA DE SAO PAULO	35046	3512	35	1	1	3	2	2	0	1	3	3	1	0	7	10	34
001800000992	INSTITUTO DE MEDICINA INTEGRADA	41009	4103	41	3	0	7	1	0	2	2	4	0	3	1	5	2	30
841500000008	UNIVERSIDADE DO ESTADO DE MATO GROSSO	51010	5102	51	23	5	20	5	14	12	5	7	0	14	8	5	4	122
000400000008	FUNDACAO GETULIO VARGAS	33018	3306	33	0	0	0	1	0	0	1	0	0	0	1	1	15	19
309500000002	UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSOES	43004	4301	43	6	6	4	8	8	1	1	1	0	4	1	3	0	43
080300000004	UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL	50002	5001	50	14	2	3	4	9	2	0	0	0	2	5	3	1	45
623800000002	INSTITUTO FEDERAL FARROUPILHA	43018	4303	43	3	1	1	0	3	0	0	0	0	3	0	1	0	12
874100000007	UNIVERSIDADE DE ARARAQUARA	35024	3505	35	1	2	3	1	10	0	0	1	0	1	1	5	0	25
027500000001	INSTITUTO NACIONAL DE TECNOLOGIA	33018	3306	33	0	2	1	5	8	0	0	1	0	0	2	1	1	21
JL8W00000004	UNIVERSIDADE FEDERAL DO OESTE DA BAHIA	29001	2901	29	10	2	5	1	6	0	0	2	0	5	5	6	0	42
J3UC00000003	UNIVERSIDADE FEDERAL DA INTEGRACAO LATINO AMERICANA	41024	4106	41	9	3	9	6	6	0	1	1	1	7	8	1	2	54
